id,parent_id,name,name_en,area
4105,41,โนนสะอาด,Non Sa-At,507.612831184
4106,41,หนองหาน,Nong Han,809.051004872
4107,41,ทุ่งฝน,Thung Fon,278.436039027
4108,41,ไชยวาน,Chaiwan,410.208152389
4109,41,ศรีธาตุ,Si That,609.489524201
4110,41,วังสามหมอ,Wang Sam Mo,873.304317678
4111,41,บ้านดุง,Ban Dung,1069.5806823
4117,41,บ้านผือ,Ban Phue,1359.2604067900002
4118,41,น้ำโสม,Nam Som,695.362282783
4119,41,เพ็ญ,Phen,1051.36566422
4120,41,สร้างคอม,Sang Khom,319.754585529
4121,41,หนองแสง,Nong Saeng,409.45466352700004
4122,41,นายูง,Na Yung,596.551956011
4123,41,พิบูลย์รักษ์,Phibun Rak,227.171888566
4124,41,กู่แก้ว,Ku Kaeo,157.54556672799998
4125,41,ประจักษ์,Prachak Sinlapakhom,179.26449830899998
4201,42,เมืองเลย,Mueang Loei,1481.38215327
4202,42,นาด้วง,Na Duang,666.2125768129999
4203,42,เชียงคาน,Chiang Khan,984.946227098
4204,42,ปากชม,Pak Chom,1129.9834826800002
4205,42,ด่านซ้าย,Dan Sai,1592.68797115
4206,42,นาแห้ว,Na Haeo,726.697728538
4207,42,ภูเรือ,Phu Ruea,787.957720035
4208,42,ท่าลี่,Tha Li,784.470799161
4209,42,วังสะพุง,Wang Saphung,1288.72348876
4210,42,ภูกระดึง,Phu Kradueng,900.806706439
4211,42,ภูหลวง,Phu Luang,651.0881284630001
4212,42,ผาขาว,Pha Khao,466.240760582
4213,42,เอราวัณ,Erawan,388.61591379799995
4214,42,หนองหิน,Nong Hin,359.995280421
4301,43,เมืองหนองคาย,Mueang Nong Khai,571.2367482640001
